MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablotools.com,,,,,,20000001,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500001,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),"Freud America, Inc.",DELTA FAUCET (PERSISTED TEST),Freud,DCB518ASTS06G,,Tools & Hardware>Abrasives>Sanding Belts & Discs,Frigidaire 24 In. Built-In Dishwasher in Stainless Steel with Wash Cycles,DISHWASHER BUILT IN 120V,Frigidaire® Gallery 24 In. Built-In Dishwasher,"Diablo® Sanding Belt, 1/2 in W x 18 in L, Pack of 6",Sanding Belt,"High quality Diablo Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,,,Abrasive Type,,,Grit,,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,6,PK,Recommended Application,,,Additional Information,,,Size,1/2 in W x 18 in L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,6,PK,,18,in,,,1/2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000002,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500002,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100075678,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100075678, P150 Grit",SAND BELT P150,"3M™ Cubitron II 3MABR-7100075678 Sanding Belt, P150, 50-Pack","3M™ Sanding Belt, Cubitron II, P150 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P150,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000003,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500003,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100045865,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100045865, P120 Grit",SAND BELT P120,"3M™ Cubitron II 3MABR-7100045865 Sanding Belt, P120, 50-Pack","3M™ Sanding Belt, Cubitron II, P120 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P120,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000004,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500004,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100048736,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100048736, P80 Grit",SAND BELT P80,"3M™ Cubitron II 3MABR-7100048736 Sanding Belt, P80, 50-Pack","3M™ Sanding Belt, Cubitron II, P80 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P80,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000005,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500005,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100075690,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100075690, P180 Grit",SAND BELT P180,"3M™ Cubitron II 3MABR-7100075690 Sanding Belt, P180, 50-Pack","3M™ Sanding Belt, Cubitron II, P180 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P180,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000006,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500006,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100075692,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100075692, P220 Grit",SAND BELT P220,"3M™ Cubitron II 3MABR-7100075692 Sanding Belt, P220, 50-Pack","3M™ Sanding Belt, Cubitron II, P220 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P220,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.3m.com,,,,,,20000007,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500007,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),3M Company,3M™,Cubitron™ II,3MABR-7100145365,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"3M Company, Sanding Belt, Cubitron II, 3MABR-7100145365, P320 Grit",SAND BELT P320,"3M™ Cubitron II 3MABR-7100145365 Sanding Belt, P320, 50-Pack","3M™ Sanding Belt, Cubitron II, P320 Grit, Pack of 50",Cubitron II Sanding Belt,"High quality 3M Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,Cubitron II,,Abrasive Type,,,Grit,P320,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,50,BX,Recommended Application,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,50,BX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.mirka.com,,,,,,20000008,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500008,5B-332-080,"5B-332-080 HIOLIT 5"" P80",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Abranet®,5B-332-080,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"Mirka USA Inc., Sanding Belt, 5B-332-080, P80 Grit, Commercial Grade",SAND BELT P80,"Mirka® 5B-332-080 Sanding Belt, 5 in, P80","Mirka® Sanding Belt, 5 in, P80 Grit",Sanding Belt,"High quality Mirka Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,,,Abrasive Type,,,Grit,P80,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,,,Recommended Application,,,Additional Information,,,Size,5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,1,EA,,5,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.mirka.com,,,,,,20000009,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500009,5B-332-120,"5B-332-120 HIOLIT 5"" P120",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Abranet®,5B-332-120,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"Mirka USA Inc., Sanding Belt, 5B-332-120, 120 V, P120 Grit, Commercial Grade",SAND BELT 120V P120,"Mirka® 5B-332-120 Sanding Belt, 5 in, P120","Mirka® Sanding Belt, 120 V, 5 in, P120 Grit",Sanding Belt,"High quality Mirka Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,,,Abrasive Type,,,Grit,P120,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,,,Recommended Application,,,Additional Information,,,Voltage Rating,120,V,Size,5 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,1,EA,,5,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
https://www.mirka.com,,,,,,20000010,Tools & Hardware,Abrasives,Sanding Belts & Discs,1500010,9A-570-240,9A-570-240 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka USA Inc.,Mirka®,Abranet®,9A-570-240,,Tools & Hardware>Abrasives>Sanding Belts & Discs,"Mirka USA Inc., Sanding Belt, 9A-570-240, 240 V, Commercial Grade",SAND BELT 240V,"Mirka® 9A-570-240 Sanding Belt, 2-3/4 in W x 30 in L","Mirka® Sanding Belt, 240 V, 2-3/4 in W x 30 in L",Sanding Belt,"High quality Mirka Sanding Belt built for industrial endurance, precision engineering, and long service life.",,,,,,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Series,,,Abrasive Type,,,Grit,,,Width,,,Length/Diameter,,,Backing Material,,,Attachment Type,,,Pack Quantity,,,Recommended Application,,,Additional Information,,,Voltage Rating,240,V,Size,2-3/4 in W x 30 in L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31191500,,,1,EA,,30,in,,,2-3/4,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No
